Title,Abstract,Author Keywords,Document Type,Authors with affiliations,Year,Source title,DOI
"Antidiabetic and hypoglycemic effect of Nigella sativa seed extract in streptozotocin-induced diabetic rats","The antidiabetic activity of Nigella sativa (black seed) was investigated in Wistar rats. The methanolic extract significantly lowered blood glucose and improved glycemic control. Phytochemical screening revealed thymoquinone as the major constituent.","Nigella sativa; antidiabetic; thymoquinone; blood glucose","Article","Al-Rashidi H., Department of Pharmacology, King Saud University, Riyadh, Saudi Arabia",2021,Journal of Ethnopharmacology,10.1016/j.jep.2021.00001
"Anticancer potential of Peganum harmala alkaloids against human breast cancer cell lines","The cytotoxic and antiproliferative activity of Peganum harmala (Syrian rue) alkaloids was evaluated in vitro against MCF-7 cells. Harmine induced apoptosis with an IC50 of 18 ug/mL, indicating strong antitumor activity.","Peganum harmala; anticancer; apoptosis; harmine; MCF-7","Article","Tazi A., Faculty of Sciences, Mohammed V University, Rabat, Morocco",2020,Journal of Ethnopharmacology,10.1016/j.jep.2020.00002
"A systematic review and meta-analysis of Trigonella foenum-graecum (fenugreek) for glycemic control in type 2 diabetes","This systematic review followed PRISMA guidelines. A random effects model pooled data from 12 randomized controlled trials. Fenugreek significantly reduced fasting blood glucose (pooled effect), confirming its antidiabetic role.","fenugreek; meta-analysis; diabetes; systematic review","Review","Karimi M., School of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran",2022,Phytotherapy Research,10.1002/ptr.00003
"Ethnobotanical survey of medicinal plants used to treat cancer in southern Jordan","An ethnobotanical survey documented plants used by traditional healers. Ziziphus spina-christi, Artemisia herba-alba and Peganum harmala were the most cited species for anticancer and anti-inflammatory use.","ethnobotanical survey; Jordan; anticancer; traditional medicine","Article","Oran S., Department of Biological Sciences, University of Jordan, Amman, Jordan",2019,Journal of Ethnobiology and Ethnomedicine,10.1186/s13002-019-00004
"Antihypertensive and antioxidant activity of Hibiscus sabdariffa calyces: a randomized placebo-controlled clinical trial","In this double blind placebo controlled clinical trial, healthy volunteers consuming Hibiscus sabdariffa (karkade) showed reduced blood pressure. The hypotensive and antioxidant effects were significant versus placebo.","Hibiscus sabdariffa; antihypertensive; clinical trial; blood pressure","Article","Ahmed O., Faculty of Pharmacy, Cairo University, Cairo, Egypt",2021,Journal of Human Hypertension,10.1038/jhh.00005
"Hepatoprotective effect of Silybum marianum against carbon tetrachloride induced liver damage","The hepatoprotective activity of Silybum marianum (milk thistle) was investigated in albino mice. Silymarin reduced liver enzyme markers against CCl4-induced hepatotoxicity, confirming its liver protective role.","Silybum marianum; hepatoprotective; silymarin; liver","Article","Bouzid N., Faculty of Medicine, University of Tunis El Manar, Tunis, Tunisia",2020,Drug and Chemical Toxicology,10.1080/dct.00006
"Antimicrobial and antibiofilm activity of Thymus vulgaris essential oil against multidrug-resistant bacteria","The antimicrobial activity of Thymus vulgaris (zaatar) essential oil was evaluated. Minimum inhibitory concentration values against Staphylococcus aureus confirmed strong antibacterial and antibiofilm effects.","Thymus vulgaris; antimicrobial; essential oil; MIC","Article","Khalil R., Department of Biology, American University of Beirut, Beirut, Lebanon",2022,Frontiers in Microbiology,10.3389/fmicb.00007
"Curcuma longa (turmeric) curcumin in colorectal cancer: a narrative review","This narrative review summarises the anticancer and anti-inflammatory mechanisms of curcumin from Curcuma longa. Evidence for antiproliferative and chemopreventive activity in colorectal cancer is discussed.","turmeric; curcumin; anticancer; review","Review","Sharma P., Department of Oncology, All India Institute of Medical Sciences, New Delhi, India",2021,Nutrients,10.3390/nu00008
"Neuroprotective and antidepressant effects of Crocus sativus (saffron) in a rat model","The neuroprotective activity of Crocus sativus (saffron) was investigated. Crocin showed antidepressant and memory-enhancing effects, with acetylcholinesterase inhibitory activity in the treated group.","saffron; neuroprotective; antidepressant; crocin","Article","Rahmani F., Faculty of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran",2020,Journal of Ethnopharmacology,10.1016/j.jep.2020.00009
"Wound healing activity of Aloe vera gel in diabetic foot ulcers: a case series","We report a case series of diabetic foot ulcers treated with topical Aloe vera. Re-epithelialization and tissue regeneration were observed, supporting the wound healing and anti-inflammatory use of the plant.","Aloe vera; wound healing; case series; diabetic foot","Article","Al-Maqtari M., Faculty of Medicine, Sana'a University, Sana'a, Yemen",2019,International Wound Journal,10.1111/iwj.00010
"Antimalarial and antileishmanial activity of Artemisia herba-alba extracts","The antiparasitic activity of Artemisia herba-alba (shih) was evaluated in vitro. The extract showed antiplasmodial and antileishmanial activity, supporting traditional antimalarial use in North Africa.","Artemisia herba-alba; antimalarial; antileishmanial; antiparasitic","Article","Belkacem N., Laboratory of Natural Substances, University of Algiers, Algiers, Algeria",2021,Parasitology Research,10.1007/s00436-00011
"Anti-inflammatory and anti-arthritic activity of Boswellia sacra frankincense resin","The anti-inflammatory activity of Boswellia sacra (luban) was investigated. Boswellic acids reduced paw edema and showed anti-arthritic and immunomodulatory effects in the carrageenan-induced model.","Boswellia; frankincense; anti-inflammatory; anti-arthritic","Article","Al-Harrasi A., Natural and Medical Sciences Research Center, University of Nizwa, Nizwa, Oman",2022,Journal of Inflammation Research,10.2147/jir.00012
"Chemical composition and antioxidant capacity of Punica granatum peel from Turkey","The antioxidant activity of Punica granatum (pomegranate) peel was determined using DPPH and FRAP assays. High radical scavenging and reducing power were recorded, correlating with total phenolic content.","pomegranate; antioxidant; DPPH; phenolics","Article","Yilmaz H., Department of Food Engineering, Ege University, Izmir, Turkey",2020,Food Chemistry,10.1016/j.foodchem.00013
"Ginkgo biloba extract for cognitive decline: a systematic review","A systematic review of randomized controlled trials assessed Ginkgo biloba for cognitive decline. The neuroprotective evidence was heterogeneous across studies following a systematic search.","Ginkgo biloba; systematic review; cognition; neuroprotective","Review","Weber K., Institute of Neurology, University of Munich, Munich, Germany",2021,Cochrane Database of Systematic Reviews,10.1002/14651858.00014
"Editorial: the growing role of Middle Eastern medicinal plants in drug discovery","This editorial reflects on the pharmacological promise of regional flora and calls for standardized ethnopharmacological reporting across the MENA region.","medicinal plants; drug discovery; editorial","Editorial","Nasser A., Faculty of Pharmacy, University of Baghdad, Baghdad, Iraq",2023,Journal of Ethnopharmacology,10.1016/j.jep.2023.00015
"Gastroprotective and antiulcer activity of Glycyrrhiza glabra root extract in rats","The gastroprotective activity of Glycyrrhiza glabra (licorice) was evaluated. The aqueous extract reduced gastric lesions and showed antiulcer and anti-inflammatory effects against ethanol-induced ulcers.","licorice; gastroprotective; antiulcer; Glycyrrhiza glabra","Article","Mansour L., Department of Pharmacology, King Abdulaziz University, Jeddah, Saudi Arabia",2020,World Journal of Gastroenterology,10.3748/wjg.00016
"Antidiabetic and antihyperlipidemic effect of Teucrium polium in alloxan-induced diabetic rabbits","The antidiabetic and hypolipidemic activity of Teucrium polium (jaadeh) was investigated. The extract lowered blood glucose and improved lipid profile, showing antioxidant activity in diabetic rabbits.","Teucrium polium; antidiabetic; hypolipidemic; antioxidant","Article","Haddad F., Faculty of Medicine, University of Damascus, Damascus, Syria",2019,Journal of Diabetes Research,10.1155/jdr.00017
"Cytotoxic and apoptotic effects of Rhazya stricta leaf extract on hepatocellular carcinoma cells","The anticancer activity of Rhazya stricta (harmal) was evaluated in vitro against HepG2 cells. The extract was cytotoxic and pro-apoptotic, indicating antitumor and antiproliferative potential.","Rhazya stricta; anticancer; apoptosis; HepG2","Article","Bin Sabt J., Department of Biochemistry, United Arab Emirates University, Al Ain, United Arab Emirates",2022,BMC Complementary Medicine and Therapies,10.1186/s12906-00018
